# Model run (UTC): 2025-11-21 12:00
# Created (UTC): 2025-11-21 14:43
time_utc,wind_speed_ms,wind_dir_deg,hs_m,tp_s,mean_wave_period_s,mean_zerocrossing_period_s,mean_wave_dir_deg,windwave_hs_m,windwave_tp_s,windwave_dir_deg,swell_hs_m,swell_tp_s,swell_dir_deg,benjamin_feir_index
2025-11-24T09:00:00+00:00,7.5026555,71.500305,1.4668009,7.4179688,6.5546875,4.623047,166.6257,0.51172274,2.9073703,88.125,1.375004,7.0625,175.37683,0.13061523
2025-11-24T10:00:00+00:00,7.3597565,72.375,1.4296916,7.3359375,6.5234375,4.5683594,164.62518,0.5078165,2.8956516,88.25,1.3369181,7.046875,173.62518,0.1274414
2025-11-24T11:00:00+00:00,7.220157,73.25,1.3886759,7.25,6.4882812,4.5117188,162.62918,0.500004,2.887839,88.75,1.2949259,7.0273438,172.03424,0.14916992
2025-11-24T12:00:00+00:00,7.0795383,74.25,1.3378947,7.1796875,6.4492188,4.435547,160.76141,0.484379,2.8136203,88.75,1.2470744,6.9960938,170.3776,0.1418457
2025-11-24T13:00:00+00:00,6.895723,73.5,1.2793009,7.125,6.4023438,4.34375,159.00629,0.45898837,2.6925266,86.625,1.19434,6.9492188,168.64673,0.13208008
2025-11-24T14:00:00+00:00,6.7099752,72.75003,1.2168009,7.0703125,6.34375,4.1953125,157.51147,0.44922274,2.669089,86.5,1.1308634,6.9257812,168.02045,0.12036133
2025-11-24T15:00:00+00:00,6.5231123,71.875,1.1503947,7.0195312,6.2851562,4.0722656,155.8771,0.42383212,2.5636203,83.75,1.06934,6.8710938,166.88214,0.10839844
2025-11-24T16:00:00+00:00,6.525931,68.0,1.0898478,6.9726562,6.203125,3.9179688,153.6405,0.406254,2.4229953,78.75,1.0107462,6.8125,165.50595,0.096191406
2025-11-24T17:00:00+00:00,6.5542703,64.125,1.0351603,6.921875,6.0859375,3.7363281,150.12634,0.41211337,2.403464,74.375,0.94922274,6.7851562,164.75366,0.084228516
2025-11-24T18:00:00+00:00,6.614962,60.25,0.9863321,6.8710938,5.9570312,3.5546875,145.50171,0.41797274,2.3448703,68.25,0.8925821,6.7460938,163.75104,0.07348633
2025-11-24T19:00:00+00:00,6.4853077,59.250122,0.93555087,6.8085938,5.8632812,3.4199219,140.76074,0.41992587,2.3526828,65.625,0.83496493,6.7539062,163.75177,0.064331055
2025-11-24T20:00:00+00:00,6.358712,58.25,0.8847696,6.7226562,5.8203125,3.3222656,136.62769,0.406254,2.3038547,62.25,0.7861368,6.7578125,163.88104,0.057739258
2025-11-24T21:00:00+00:00,6.229996,57.25,0.83984774,6.5820312,5.8046875,3.2304688,132.62549,0.39160556,2.2686985,59.875,0.74316806,6.7890625,164.87701,0.0637207
2025-11-24T22:00:00+00:00,6.098054,56.375,0.80273837,10.433594,5.7929688,3.1210938,128.75446,0.37891024,2.2198703,57.875,0.7080118,6.8164062,167.01535,0.022705078
2025-11-24T23:00:00+00:00,5.966512,55.625,0.76953524,10.417969,5.796875,3.0566406,125.00128,0.36621493,2.1925266,56.5,0.6767618,6.8554688,171.12793,0.021240234
2025-11-25T00:00:00+00:00,5.8347297,54.750122,0.73828524,10.3984375,5.8203125,3.0019531,121.625,0.3515665,2.1476047,55.125,0.64941806,6.8984375,177.88068,0.020019531
2025-11-25T01:00:00+00:00,5.513168,54.50006,0.7050821,10.378906,5.8945312,2.9238281,122.87607,0.328129,2.0987766,54.625,0.62402743,6.9453125,189.88226,0.018798828
2025-11-25T02:00:00+00:00,5.1853094,54.25,0.6689493,10.359375,6.0429688,2.9160156,136.37631,0.2939493,2.0147922,53.25,0.6015665,7.0039062,205.50897,0.018066406
2025-11-25T03:00:00+00:00,4.8599524,54.0,0.6357462,10.347656,6.2265625,2.9296875,193.7522,0.25879306,1.9249485,52.625,0.5800821,7.0820312,223.25244,0.017578125
2025-11-25T04:00:00+00:00,4.542481,56.134308,0.60547274,10.339844,6.4179688,2.9550781,246.75128,0.2265665,1.8370578,54.25,0.56055087,7.1679688,239.38635,0.017333984
2025-11-25T05:00:00+00:00,4.228622,58.63153,0.578129,10.339844,6.6054688,2.9882812,261.1256,0.19726962,1.7530735,56.625,0.5439493,7.2421875,251.25214,0.017333984
2025-11-25T06:00:00+00:00,3.9268656,61.5,0.5546915,10.34375,6.78125,3.0234375,267.25027,0.16797274,1.651511,59.5,0.52930087,7.296875,259.75052,0.017578125
2025-11-25T07:00:00+00:00,3.781267,62.125,0.53516024,10.359375,6.9179688,3.0371094,271.5,0.15137118,1.5909641,61.125,0.5126993,7.3828125,265.37946,0.017700195
2025-11-25T08:00:00+00:00,3.631315,62.750305,0.5175821,10.375,7.0234375,3.0351562,274.8764,0.1376993,1.526511,60.5,0.49902743,7.4414062,269.5014,0.017822266
2025-11-25T09:00:00+00:00,3.483806,63.50006,0.5019571,10.390625,7.109375,3.0332031,277.5011,0.125004,1.4776828,62.25,0.48633212,7.484375,273.128,0.018066406
2025-11-25T10:00:00+00:00,3.1971273,66.50012,0.48730868,10.3984375,7.1953125,3.0566406,279.2525,0.10644931,1.4093235,64.875,0.47461337,7.4921875,276.12607,0.018310547
2025-11-25T11:00:00+00:00,2.9212608,70.12518,0.47168368,10.3984375,7.2734375,3.0859375,280.25476,0.08691806,1.3292453,68.125,0.46387118,7.484375,278.37738,0.018676758
2025-11-25T12:00:00+00:00,2.6629052,74.50003,0.4580118,10.3828125,7.3242188,3.1015625,281.12665,0.0703165,1.2218235,73.5,0.45215243,7.4726562,280.12714,0.018798828
2025-11-25T13:00:00+00:00,2.6070347,75.12512,0.44433993,10.363281,7.3359375,3.0800781,282.3781,0.064457126,1.182761,74.125,0.43945712,7.46875,281.50693,0.018554688
2025-11-25T14:00:00+00:00,2.5527709,75.87515,0.43262118,10.3359375,7.3164062,3.0410156,284.00424,0.059574313,1.135886,75.875,0.42871493,7.4375,283.2531,0.018310547
2025-11-25T15:00:00+00:00,2.498135,76.62671,0.42383212,10.308594,7.2695312,3.0019531,286.00497,0.05762119,1.1222141,74.25,0.41992587,7.3867188,285.2585,0.017822266
2025-11-25T16:00:00+00:00,2.961717,90.0,0.4189493,10.28125,7.1484375,2.9199219,288.62595,0.076175876,1.2472141,91.25,0.41211337,7.3515625,287.87598,0.017089844
2025-11-25T17:00:00+00:00,3.5440536,99.500244,0.42090243,10.253906,6.9140625,2.78125,291.2522,0.11426181,1.4815891,105.25,0.40527743,7.34375,290.62927,0.016113281
2025-11-25T18:00:00+00:00,4.1952205,106.125244,0.43359774,10.2265625,6.5078125,2.5722656,292.8761,0.171879,1.7530735,115.375,0.39746493,7.3945312,293.37662,0.0146484375
2025-11-25T19:00:00+00:00,4.253881,109.0,0.44629306,10.1953125,6.1523438,2.4785156,292.62665,0.20117587,1.8292453,118.75,0.39746493,7.2617188,294.3757,0.013793945
2025-11-25T20:00:00+00:00,4.3269334,111.88275,0.45410556,10.1640625,5.9257812,2.4453125,291.3758,0.22070712,1.9405735,121.25,0.39648837,7.15625,294.75256,0.013183594
2025-11-25T21:00:00+00:00,4.410149,114.641846,0.45996493,10.1328125,5.7382812,2.4140625,289.38068,0.23535556,1.9991672,123.75,0.39453524,7.0742188,294.8792,0.012939453
2025-11-25T22:00:00+00:00,4.45829,114.90167,0.46387118,10.105469,5.578125,2.3847656,286.62775,0.24414462,2.026511,124.375,0.39453524,6.9375,293.87775,0.0126953125
2025-11-25T23:00:00+00:00,4.5102334,115.25006,0.4658243,10.074219,5.4375,2.3535156,282.87714,0.24902743,2.0382297,124.875,0.39355868,6.8007812,292.25043,0.0126953125
2025-11-26T00:00:00+00:00,4.55885,115.625,0.46777743,10.046875,5.2929688,2.3261719,277.63647,0.25098056,2.0362766,125.125,0.39453524,6.609375,289.37656,0.012939453
2025-11-26T01:00:00+00:00,4.3715944,126.12537,0.47070712,10.011719,5.1757812,2.3378906,269.75934,0.24512118,2.028464,131.375,0.40137118,6.3515625,285.75415,0.012939453
2025-11-26T02:00:00+00:00,4.33489,137.13269,0.48730868,9.972656,4.9765625,2.3730469,258.75482,0.24609774,2.026511,140.625,0.42090243,5.984375,278.50232,0.013427734
2025-11-26T03:00:00+00:00,4.4571524,147.88379,0.53516024,9.925781,4.6484375,2.4472656,246.00287,0.265629,2.0655735,152.25,0.46387118,5.4921875,267.5054,0.014892578
2025-11-26T04:00:00+00:00,3.0787523,163.6258,0.59180087,9.863281,4.4882812,2.6953125,240.37784,0.15723056,1.6495578,164.25,0.5703165,4.703125,245.8753,0.020019531
2025-11-26T05:00:00+00:00,2.2179868,196.5149,0.6015665,9.7890625,4.5585938,2.890625,241.50366,0.05762119,1.0909641,195.875,0.5986368,4.5898438,241.8771,0.02319336
2025-11-26T06:00:00+00:00,2.4953282,238.5,0.57422274,9.6953125,4.6601562,2.9140625,243.87543,0.06933994,1.2237766,238.375,0.5703165,4.7148438,244.00076,0.022216797
2025-11-26T07:00:00+00:00,1.6266629,236.37506,0.5439493,9.558594,4.7460938,2.8828125,247.25275,0.018558687,0.77846414,240.0,0.5439493,4.7539062,247.25217,0.024902344
2025-11-26T08:00:00+00:00,0.75962,229.50034,0.5253946,9.457031,4.7929688,2.859375,251.62634,3.9999995e-06,0.9991672,180.0,0.5253946,4.7929688,251.62695,0.023925781
2025-11-26T09:00:00+00:00,0.22054613,113.00003,0.5175821,9.3828125,4.796875,2.8515625,256.12915,3.9999995e-06,0.99916726,180.0,0.5175821,4.796875,256.12616,0.0234375
2025-11-26T10:00:00+00:00,2.2951717,208.89703,0.51953524,9.328125,4.734375,2.828125,258.88263,0.056644626,1.1222141,209.75,0.51660556,4.7773438,259.37677,0.02368164
