# Model run (UTC): 2025-12-02 06:00
time_utc,s1_h,s1_p,s1_dir,s1_dirMin,s2_h,s2_p,s2_dir,s2_dirMin,s3_h,s3_p,s3_dir,s3_dirMin,s4_h,s4_p,s4_dir,s4_dirMin,s5_h,s5_p,s5_dir,s5_dirMin,s6_h,s6_p,s6_dir,s6_dirMin,s1_impact,s2_impact,s3_impact,s4_impact,s5_impact,s6_impact
2025-12-02T21:00:00+00:00,2.2,8.0,215.2,197.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,295.5,291.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.0,0.0,0.283,0.0,0.0
2025-12-02T22:00:00+00:00,2.1,8.0,216.5,198.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,295.5,291.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.287,0.0,0.0
2025-12-02T23:00:00+00:00,2.1,8.0,217.5,199.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,295.4,291.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666,0.0,0.0,0.29,0.0,0.0
2025-12-03T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,14.0,295.3,291.0,1.6,8.0,195.1,183.3,1.2,7.0,259.4,249.7,0.0,0.0,0.0,0.229,0.412,0.332
2025-12-03T01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.0,295.1,290.9,1.5,8.0,194.8,183.1,1.2,7.0,259.5,249.6,0.0,0.0,0.0,0.231,0.407,0.334
2025-12-03T02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.0,294.9,290.7,1.4,8.0,194.4,182.8,1.1,7.0,259.3,249.2,0.0,0.0,0.0,0.235,0.402,0.335
2025-12-03T03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.0,294.8,290.5,1.3,8.0,190.8,179.9,1.2,7.0,254.8,243.5,0.0,0.0,0.0,0.236,0.371,0.364
2025-12-03T04:00:00+00:00,1.7,7.0,219.0,200.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.0,294.5,290.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647,0.0,0.0,0.302,0.0,0.0
2025-12-03T05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.0,294.4,290.2,1.2,7.0,193.1,181.8,1.0,7.0,260.4,249.8,0.0,0.0,0.0,0.241,0.394,0.334
2025-12-03T06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.0,294.2,290.0,1.2,7.0,192.8,181.3,1.0,7.0,261.1,250.4,0.0,0.0,0.0,0.242,0.393,0.333
